TransactionAmount,TransactionTime,IsForeignTransaction,IsHighRiskCountry,DeviceChange,VelocityFlag,CardPresent,BehaviorDeviation,RepeatedPattern,IsFraudPredicted,FraudCause
59.75,58936,1,0,0,0,1,0,0,0,Transaction Safe
7.9,46769,0,0,1,1,0,1,0,0,Transaction Safe
8.11,59356,0,0,0,0,1,1,0,0,Transaction Safe
36.66,41045,0,0,0,0,0,0,0,0,Transaction Safe
63.45,31297,0,0,0,0,0,0,0,0,Transaction Safe
33.41,65231,0,0,0,0,0,0,0,0,Transaction Safe
172.41,46299,0,0,0,0,0,0,0,0,Transaction Safe
151.91,48256,0,0,0,0,1,0,0,0,Transaction Safe
63.64,51198,0,0,0,0,1,0,0,0,Transaction Safe
107.35,35661,0,0,0,0,1,0,0,0,Transaction Safe
363.85,30892,0,0,0,0,1,0,0,0,Transaction Safe
2866.31,6974,1,1,0,1,1,1,1,1,"Potential Fraud: Late Night Transaction, Foreign Transaction, High Risk Country, Velocity Flag, Card Present, Behavior Deviation, Repeated Pattern"
5.38,59299,0,0,1,0,1,0,0,0,Transaction Safe
30.71,74994,0,0,0,0,1,0,1,0,Transaction Safe
30.92,64784,0,0,0,0,1,0,0,0,Transaction Safe
50.0,40545,0,0,0,0,1,0,0,0,Transaction Safe
91.35,36121,0,0,0,0,1,0,0,0,Transaction Safe
78.48,53924,0,0,0,0,1,0,0,0,Transaction Safe
108.43,51168,0,0,1,0,1,1,0,0,Transaction Safe
12.94,69329,0,0,0,0,1,0,0,0,Transaction Safe
41.79,46010,0,0,0,0,0,0,0,0,Transaction Safe
130.3,56485,0,0,0,0,1,0,0,0,Transaction Safe
28.85,46688,0,0,0,0,1,0,0,0,Transaction Safe
25.03,61016,0,0,0,0,1,0,0,0,Transaction Safe
158.09,30919,0,0,1,0,1,0,0,0,Transaction Safe
12.19,44046,1,0,0,0,1,0,0,0,Transaction Safe
13.06,75558,0,0,0,0,1,0,0,0,Transaction Safe
100.99,43692,0,0,0,0,1,0,0,0,Transaction Safe
43.48,69170,1,0,0,1,1,0,0,0,Transaction Safe
192.29,47266,0,0,0,0,1,1,0,0,Transaction Safe
59.44,40786,0,0,0,0,1,0,0,0,Transaction Safe
20.71,52486,0,0,0,1,0,0,0,0,Transaction Safe
51.84,51695,1,0,0,0,0,0,0,0,Transaction Safe
1424.27,41906,1,1,1,1,0,1,0,1,"Potential Fraud: Late Night Transaction, Foreign Transaction, High Risk Country, Device Change, Velocity Flag, Behavior Deviation"
1176.03,1983,0,0,0,0,0,1,1,0,Transaction Safe
158.65,60765,0,0,0,0,1,0,0,0,Transaction Safe
145.63,47913,0,0,1,0,0,0,0,0,Transaction Safe
345.38,52390,0,0,0,0,0,0,0,0,Transaction Safe
139.67,73262,0,0,0,0,1,0,0,0,Transaction Safe
49.01,45032,0,0,0,0,1,0,1,0,Transaction Safe
197.34,41012,0,0,0,0,1,0,0,0,Transaction Safe
54.22,34036,0,0,0,0,1,0,1,0,Transaction Safe
29.91,39577,0,0,0,0,1,0,0,0,Transaction Safe
3669.71,19216,1,1,1,1,1,1,1,1,"Potential Fraud: Late Night Transaction, Foreign Transaction, High Risk Country, Device Change, Velocity Flag, Card Present, Behavior Deviation, Repeated Pattern"
217.59,68036,0,0,0,0,1,1,0,0,Transaction Safe
21.23,70702,0,0,0,0,1,0,0,0,Transaction Safe
21.74,64781,0,0,0,0,0,0,0,0,Transaction Safe
66.71,40027,0,0,0,0,1,0,0,0,Transaction Safe
7.88,66046,0,0,0,0,0,0,0,0,Transaction Safe
32.92,37136,1,1,0,0,1,0,0,1,"Potential Fraud: Late Night Transaction, Foreign Transaction, High Risk Country, Card Present"
3874.6,8283,1,1,1,0,0,1,1,1,"Potential Fraud: Late Night Transaction, Foreign Transaction, High Risk Country, Device Change, Behavior Deviation, Repeated Pattern"
19.5,74047,0,0,0,0,1,0,0,0,Transaction Safe
